Link,Nama,Lokasi,Harga,Jenis,Listrik,Luas Kamar,K Mandi Dalam,AC,WiFi,Kasur,Akses 24 Jam,Panjang Kamar,Lebar Kamar,Maps
https://mamikos.com/room/kost-kota-surabaya-kost-campur-murah-kost-abdul-karim-40-tipe-a-gunung-anyar-surabaya?redirection_source=list%20kos%20result,Kost Abdul Karim 40 Tipe A Gunung Anyar Surabaya,Gunung Anyar,585000,Putra,Tidak termasuk listrik,12.0,No,No,Yes,Yes,Yes,3.0,4.0,"https://maps.google.com/maps?z=7&q=-7.338644,112.771274"
https://mamikos.com/room/kost-surabaya-kost-putri-eksklusif-kost-bu-hartini-executive-rungkut-surabaya-2?redirection_source=list%20kos%20result,Kost Bu Hartini Tipe Executive Rungkut Surabaya,Rungkut,2000000,Putri,Tidak termasuk listrik,16.0,Yes,Yes,Yes,Yes,No,4.0,4.0,"https://maps.google.com/maps?z=7&q=-7.3281,112.785111"
https://mamikos.com/room/kost-kota-surabaya-kost-putri-murah-kost-asri-tipe-a-rungkut-surabaya-2?redirection_source=list%20kos%20result,Kost Asri Tipe A Rungkut Surabaya,Rungkut,900000,Putri,Tidak termasuk listrik,9.0,No,Yes,Yes,Yes,Yes,3.0,3.0,"https://maps.google.com/maps?z=7&q=-7.3154764620033,112.79096603394"
https://mamikos.com/room/kost-kota-surabaya-kost-putri-eksklusif-kost-family-rungkut-surabaya-2?redirection_source=list%20kos%20result,Kost Family Rungkut Surabaya,Rungkut,1100000,Putri,Termasuk listrik,9.0,Yes,No,No,Yes,No,3.0,3.0,"https://maps.google.com/maps?z=7&q=-7.3280385808613,112.79281675816"
https://mamikos.com/room/kost-kota-surabaya-kost-putra-eksklusif-kost-bu-nita-upn-tipe-executive-rungkut-surabaya-2?redirection_source=list%20kos%20result,Kost Bu Nita Upn Tipe Executive Rungkut Surabaya,Rungkut,900000,Putra,Termasuk listrik,12.0,No,No,Yes,Yes,Yes,3.0,4.0,"https://maps.google.com/maps?z=7&q=-7.326211,112.784007"
https://mamikos.com/room/kost-kota-surabaya-kost-putri-murah-kost-penjaringan-tipe-b-rungkut-surabaya?redirection_source=list%20kos%20result,Kost Penjaringan Tipe B Rungkut Surabaya,Rungkut,650000,Putri,Termasuk listrik,9.0,No,No,Yes,Yes,No,3.0,3.0,"https://maps.google.com/maps?z=7&q=-7.3206723,112.782491"
https://mamikos.com/room/kost-kota-surabaya-kost-campur-eksklusif-kost-homy-rungkut-surabaya?redirection_source=list%20kos%20result,Kost Homy Rungkut Surabaya,Rungkut,1750000,Campur,Tidak termasuk listrik,16.0,Yes,Yes,Yes,Yes,Yes,4.0,4.0,"https://maps.google.com/maps?z=7&q=-7.32698,112.776225"
https://mamikos.com/room/kost-surabaya-kost-putra-murah-kost-medokan-sawah-timur-rungkut-surabaya?redirection_source=list%20kos%20result,Kost Medokan Sawah Timur Rungkut Surabaya,Rungkut,700000,Putra,Tidak termasuk listrik,12.0,Yes,No,Yes,Yes,No,3.0,4.0,"https://maps.google.com/maps?z=7&q=-7.3296234524313,112.80538961291"
https://mamikos.com/room/kost-kota-surabaya-kost-putri-eksklusif-kost-rl-3d-rungkut-surabaya-1?redirection_source=list%20kos%20result,Kost RL 3D Rungkut Surabaya,Rungkut,1500000,Putri,Termasuk listrik,7.5,Yes,Yes,Yes,Yes,Yes,2.5,3.0,"https://maps.google.com/maps?z=7&q=-7.3262997,112.7767787"
https://mamikos.com/room/kost-kota-surabaya-kost-putri-eksklusif-kost-pondok-nirwana-merr-mom-reni-executive-rungkut-surabaya?redirection_source=list%20kos%20result,Kost Pondok Nirwana Merr Mom Reni Executive Rungkut Surabaya,Rungkut,1600000,Putri,Termasuk listrik,12.0,Yes,Yes,Yes,Yes,Yes,3.0,4.0,"https://maps.google.com/maps?z=7&q=-7.3297269,112.7846992"
https://mamikos.com/room/kost-kota-surabaya-kost-putra-eksklusif-kost-house-of-jelita-tipe-b-rungkut-surabaya?redirection_source=list%20kos%20result,Kost House Of Jelita Tipe B Rungkut Surabaya,Rungkut,1500000,Putra,Tidak termasuk listrik,16.0,No,Yes,Yes,Yes,Yes,4.0,4.0,"https://maps.google.com/maps?z=7&q=-7.3184631675043,112.78603264043"
https://mamikos.com/room/kost-kota-surabaya-kost-campur-eksklusif-kost-murah-vip-gunung-anyar-surabaya-2?redirection_source=list%20kos%20result,Kost Yuanita Rungkut Gunung Anyar Surabaya,Gunung Anyar,1650000,Campur,Tidak termasuk listrik,10.5,Yes,Yes,Yes,Yes,Yes,3.0,3.5,"https://maps.google.com/maps?z=7&q=-7.33713,112.776671"
https://mamikos.com/room/kost-kota-surabaya-kost-putri-eksklusif-kost-ga-gunung-anyar-1?redirection_source=list%20kos%20result,Kost GA Gunung Anyar Surabaya,Gunung Anyar,1250000,Putri,Tidak termasuk listrik,12.0,No,Yes,Yes,Yes,No,3.0,4.0,"https://maps.google.com/maps?z=7&q=-7.332881,112.8038648"
https://mamikos.com/room/kost-kota-surabaya-kost-putri-murah-kost-aulian-gunung-anyar-surabaya?redirection_source=list%20kos%20result,Kost Aulian Gunung Anyar Surabaya,Gunung Anyar,690000,Putri,Tidak termasuk listrik,12.0,No,No,Yes,Yes,Yes,3.0,4.0,"https://maps.google.com/maps?z=7&q=-7.3431943,112.8009847"
https://mamikos.com/room/kost-kota-surabaya-kost-campur-eksklusif-kost-gunung-anyar-lor-2-rungkut-surabaya?redirection_source=list%20kos%20result,Kost Gunung Anyar Lor 2 Rungkut Surabaya,Gunung Anyar,600000,Campur,Tidak termasuk listrik,13.2,Yes,No,No,Yes,Yes,2.2,6.0,"https://maps.google.com/maps?z=7&q=-7.3347634387732,112.78299450874"
https://mamikos.com/room/kost-kabupaten-sidoarjo-kost-putri-eksklusif-kost-pokcan-waru-sidoarjo?redirection_source=list%20kos%20result,Kost Pokcan Waru Sidoarjo,Waru,700000,Putri,Tidak termasuk listrik,12.0,No,No,No,Yes,Yes,3.0,4.0,"https://maps.google.com/maps?z=7&q=-7.344886,112.773502"
